"";"x"
"1";"DC:monocyte-derived:immature"
"2";"DC:monocyte-derived:immature"
"3";"DC:monocyte-derived:immature"
"4";"DC:monocyte-derived:Galectin-1"
"5";"DC:monocyte-derived:Galectin-1"
"6";"DC:monocyte-derived:Galectin-1"
"7";"DC:monocyte-derived:LPS"
"8";"DC:monocyte-derived:LPS"
"9";"DC:monocyte-derived:LPS"
"10";"DC:monocyte-derived"
"11";"DC:monocyte-derived"
"12";"DC:monocyte-derived"
"13";"Smooth_muscle_cells:bronchial:vit_D"
"14";"Smooth_muscle_cells:bronchial:vit_D"
"15";"Smooth_muscle_cells:bronchial:vit_D"
"16";"Smooth_muscle_cells:bronchial"
"17";"Smooth_muscle_cells:bronchial"
"18";"Smooth_muscle_cells:bronchial"
"19";"Epithelial_cells:bronchial"
"20";"Epithelial_cells:bronchial"
"21";"Epithelial_cells:bronchial"
"22";"Epithelial_cells:bronchial"
"23";"Epithelial_cells:bronchial"
"24";"Epithelial_cells:bronchial"
"25";"Epithelial_cells:bronchial"
"26";"Epithelial_cells:bronchial"
"27";"Epithelial_cells:bronchial"
"28";"Epithelial_cells:bronchial"
"29";"B_cell"
"30";"B_cell"
"31";"B_cell"
"32";"B_cell"
"33";"Neutrophil"
"34";"Neutrophil"
"35";"Neutrophil"
"36";"T_cell:CD8+_Central_memory"
"37";"T_cell:CD8+_Central_memory"
"38";"T_cell:CD8+_Central_memory"
"39";"T_cell:CD8+"
"40";"T_cell:CD4+"
"41";"T_cell:CD8+"
"42";"T_cell:CD4+"
"43";"T_cell:CD8+"
"44";"T_cell:CD8+"
"45";"T_cell:CD8+"
"46";"T_cell:CD4+"
"47";"T_cell:CD8+"
"48";"T_cell:CD8+_effector_memory_RA"
"49";"T_cell:CD8+_effector_memory_RA"
"50";"T_cell:CD8+_effector_memory_RA"
"51";"T_cell:CD8+_effector_memory_RA"
"52";"T_cell:CD8+_effector_memory"
"53";"T_cell:CD8+_effector_memory"
"54";"T_cell:CD8+_effector_memory"
"55";"T_cell:CD8+_effector_memory"
"56";"T_cell:CD8+_naive"
"57";"T_cell:CD8+_naive"
"58";"T_cell:CD8+_naive"
"59";"T_cell:CD8+_naive"
"60";"Monocyte"
"61";"Monocyte"
"62";"Monocyte"
"63";"Monocyte"
"64";"Monocyte"
"65";"Monocyte"
"66";"Erythroblast"
"67";"Erythroblast"
"68";"Erythroblast"
"69";"Erythroblast"
"70";"Erythroblast"
"71";"Erythroblast"
"72";"Erythroblast"
"73";"Erythroblast"
"74";"BM"
"75";"DC:monocyte-derived"
"76";"DC:monocyte-derived:rosiglitazone"
"77";"DC:monocyte-derived:AM580"
"78";"DC:monocyte-derived"
"79";"DC:monocyte-derived:rosiglitazone"
"80";"DC:monocyte-derived:AM580"
"81";"DC:monocyte-derived:rosiglitazone/AGN193109"
"82";"DC:monocyte-derived"
"83";"DC:monocyte-derived:rosiglitazone"
"84";"DC:monocyte-derived:AM580"
"85";"DC:monocyte-derived:rosiglitazone/AGN193109"
"86";"Monocyte"
"87";"Monocyte"
"88";"Monocyte"
"89";"Monocyte"
"90";"Monocyte"
"91";"Monocyte"
"92";"DC:monocyte-derived"
"93";"DC:monocyte-derived"
"94";"DC:monocyte-derived"
"95";"DC:monocyte-derived:anti-DC-SIGN_2h"
"96";"DC:monocyte-derived:anti-DC-SIGN_2h"
"97";"DC:monocyte-derived:anti-DC-SIGN_2h"
"98";"Endothelial_cells:HUVEC"
"99";"Endothelial_cells:HUVEC:Borrelia_burgdorferi"
"100";"Endothelial_cells:HUVEC:Borrelia_burgdorferi"
"101";"Endothelial_cells:HUVEC:IFNg"
"102";"Endothelial_cells:lymphatic"
"103";"Endothelial_cells:HUVEC"
"104";"Endothelial_cells:HUVEC"
"105";"Endothelial_cells:HUVEC:Serum_Amyloid_A"
"106";"Endothelial_cells:HUVEC:Serum_Amyloid_A"
"107";"Endothelial_cells:HUVEC:Serum_Amyloid_A"
"108";"Endothelial_cells:HUVEC:Serum_Amyloid_A"
"109";"Endothelial_cells:HUVEC:Serum_Amyloid_A"
